127.0.0.1 - - [17/Aug/2017:10:52:47 +0530] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [17/Aug/2017:10:52:50 +0530] "POST /TempConvertor/services/AdminService HTTP/1.0" 200 291
127.0.0.1 - - [17/Aug/2017:10:52:50 +0530] "POST /TempConvertor/services/AdminService HTTP/1.0" 200 4277
127.0.0.1 - - [17/Aug/2017:10:56:16 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 461
127.0.0.1 - - [17/Aug/2017:11:33:48 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 461
127.0.0.1 - - [17/Aug/2017:11:34:36 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:34:46 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:35:34 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:35:44 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:39:17 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:39:44 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:39:56 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:40:09 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:40:45 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:41:28 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:41:47 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 446
127.0.0.1 - - [17/Aug/2017:11:41:47 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 462
127.0.0.1 - - [17/Aug/2017:11:41:47 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 447
127.0.0.1 - - [17/Aug/2017:11:42:17 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 446
127.0.0.1 - - [17/Aug/2017:11:42:17 +0530] "POST /TempConvertor/services/FahrenheitToCelcius HTTP/1.0" 200 462
